"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.10","psrf"
"Nhat[1]",168.187018429718,386407.207896953,8512830.35726742,3402705.20332454,39889338.8741558,NA,409593.140449727,1,9484,0.0118721181981341,1.00213323811738
"Nhat[2]",1861.33211249945,467366.895825518,5280665.6566396,1625641.22303333,8804626.22043743,NA,97312.3575597115,1.1,8186,0.00595551068120562,1.00004062178945
"Nhat[3]",53.0038018631401,460483.565587812,5937166.79683762,1899819.79727837,9509533.53819128,NA,96660.5032738054,1,9679,0.000954955792678395,1.00015928465547
"Nhat[4]",278.920014888223,633184.905691695,7517757.72128387,2368337.55359322,12986754.4147263,NA,137072.405048006,1.1,8976,0.0124132984895333,1.00021237892803
"Nhat[5]",834.612509217393,530473.258376384,4785388.94691075,1520299.32940359,9585781.21052543,NA,95857.8121052543,1,10000,-0.00198922629338186,1.00219552322599
"Nhat[6]",1100.79804168742,575659.325593313,4845709.96301841,1816744.93574505,20310356.7667346,NA,230038.363139384,1.1,7795,0.0138122058439851,1.00062144636419
"Nhat[7]",463.762982406255,571559.987549466,5113074.56576637,1864406.80045043,19668456.0134234,NA,216476.212584011,1.1,8255,0.00247350449395983,0.99996549243316
"Nhat[8]",138.548444941578,620338.319044708,8562944.57938857,3048213.94149295,25313217.3031428,NA,253132.173031428,1,10000,-0.000941343654516041,1.00043839823522
"Nhat[9]",1064.35685148055,541799.007062335,3976103.71864387,1436914.4687304,9963022.05797736,NA,107321.813583149,1.1,8618,0.00577754865566994,1.00079224858065
"Nhat[10]",541.450731869943,829554.684213097,9277091.43531648,2907824.59944893,17670916.6695419,NA,221371.526008222,1.3,6372,0.00181719361100998,1.00408259503955
"Nhat[11]",294.021280795641,462423.461459078,6881545.56362919,2286612.44003213,17960097.2754585,NA,214748.824376293,1.2,6994,0.039972514164054,1.0005101584348
"Nhat[12]",749.242112554747,599224.929616779,4933091.77168377,1688516.36398023,9189010.57081033,NA,97006.9490420754,1.1,8973,0.0014244963511404,1.00244689424046
"Nhat[13]",2181.28511770243,635867.907941632,5831166.57554754,1875317.58084245,8951796.18664522,NA,115130.92008966,1.3,6046,0.00437110358032786,1.0000200876409
"Nhat[14]",33.7330381122544,672218.684692147,6002203.90037086,1843553.66766281,6751621.27409984,NA,68890.0617247746,1,9605,0.0132005299463151,1.00085336615404
"Nhat[15]",330.770552779516,616447.61240564,4675952.8940516,1584962.56413536,8938761.47472793,NA,100983.526992395,1.1,7835,0.00322730802201956,1.00084296223374
"Nhat[16]",736.685600110535,714757.21797671,6132086.71554489,2037151.60281444,9716677.45226055,NA,120690.563932964,1.2,6482,0.00761706142278551,1.00165005195813
"Nhat[17]",446.4458222698,752822.387673134,6454160.98888496,2271293.9852782,17738112.2838394,NA,200399.74221814,1.1,7835,0.00857291331276485,1.00292211817803
"Nhat[18]",393.622635558935,773345.591154517,6804967.20957411,2586354.11565694,38292031.2114573,NA,403404.686731542,1.1,9010,0.00234008702528018,1.00146353973742
"Nhat[19]",1186.56294854471,1076578.05794437,7734260.42927768,2580873.08419232,10330557.3057866,NA,119918.591103729,1.2,7421,-0.00148326589971112,1.00256328481688
"Nhat[20]",2459.89258882039,1220205.48371461,9986867.24503382,3258643.57269654,15828013.1284797,NA,169603.251085199,1.1,8709,-0.00336267536496679,1.00024917344717
"Nhat[21]",1897.83560442614,1196024.30708573,8990008.38898644,3696606.83941144,69151723.765506,NA,738718.432829453,1.1,8763,0.00103737305689847,1.00115190427211
"Nhat[22]",1635.03012267582,736537.874129423,5481788.44714477,1778993.93834717,9553395.52013799,NA,95533.9552013799,1,10000,0.00961487889000621,1.00080417991267
"Nhat[23]",2824.1844805184,1020458.84824694,7672214.70392471,3372394.24825955,79804947.9621151,NA,880750.288009527,1.1,8210,-0.0048158871458713,1.00052660994253
"Nhat[24]",1446.85329318749,1082284.03106872,7612251.47294393,2736233.06703334,14655197.155968,NA,149029.04797922,1,9670,0.00127879747750975,0.999905748080055
"Nhat[25]",55586.5955949361,1233975.92440969,6327399.89726699,2150168.72316816,4772644.10049487,NA,51902.1227224185,1.1,8456,0.00860175239990836,1.00044841332589
"Nhat[26]",81378.1058341942,1219212.37587332,4011539.89838977,1683609.1680023,2037703.35003433,NA,27627.1943980915,1.4,5440,0.0270956324110428,1.01062660595036
"Nhat[27]",15396.0619970099,1750429.03049198,9167715.88638739,3131786.49514358,6630776.04692009,NA,85760.0308765437,1.3,5978,0.0298015092847577,1.00013943649878
"Nhat[28]",124275.89021738,1492852.49937508,4065576.5579849,1873510.60839998,2137596.00782375,NA,28501.2679058547,1.3,5625,0.0272782602789663,1.00096374873592
"Nhat[29]",107899.05816802,1427451.74339691,4378318.5097514,1889016.08296047,2436097.79885249,NA,28831.2227139315,1.2,7139,0.0260844895940984,1.00055143643856
