"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.10","psrf"
"mu_alpha_city",14.1350477150311,14.4678381871237,14.8089184014286,14.4670088164301,0.170303906342726,NA,0.00323194249894791,1.9,2777,0.0774632646362115,0.999980669463168
"mu_alpha_town[1]",13.5378310863697,14.258718597842,14.935188069033,14.2585835564675,0.352394370069661,NA,0.00411209832406896,1.2,7344,0.025410840659353,1.0009279420983
"mu_alpha_town[2]",13.4856836906479,14.3350966038938,15.2307744064961,14.3339026119929,0.444987065276047,NA,0.00589097807033478,1.3,5706,0.0555620085939146,1.00014803732545
"mu_alpha_town[3]",13.2546605201456,13.9872087312342,14.7773311014187,13.996650204283,0.383025568010227,NA,0.00475157596711125,1.2,6498,0.0192871926337781,1.00235765318907
"mu_alpha_town[4]",13.9988970857211,14.5945822050372,15.1936115770502,14.5921327628049,0.301496872846707,NA,0.00858202798272717,2.8,1234,0.119684848462578,1.00542269777313
"mu_alpha_town[5]",14.173399840319,14.7052644040147,15.2728172382317,14.6975560136607,0.279077078327163,NA,0.00877930533024539,3.1,1010,0.215700422588048,1.00470042045805
"mu_alpha_town[6]",13.6344136685594,14.2218442933078,14.8682902522776,14.2330553733803,0.311341190891135,NA,0.00473484198076462,1.5,4324,0.0409672030190281,1.00307996225844
"mu_alpha_town[7]",13.4676173915625,14.3801543174791,15.2442446430436,14.3815542205292,0.447465213464279,NA,0.00437577449176951,1,10457,0.0192700408524089,1.00022283735275
"mu_alpha_town[8]",13.8021967313106,14.4505391492879,15.0740060129211,14.451573919238,0.322442782069604,NA,0.0156307175705534,4.8,426,0.319349663534548,1.02050819496921
"mu_alpha_town[9]",13.5593276010689,14.4675791670483,15.3799417426567,14.4659240934471,0.459848722514179,NA,0.00837128204440808,1.8,3017,0.0576381394122999,1.00013161047549
"mu_alpha_town[10]",13.6168042482884,14.1901518780446,14.7961846646703,14.1936347977939,0.29808409398093,NA,0.00917419454373745,3.1,1056,0.178174054958983,1.0002242577978
